2021-HWC_WV
Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2021,2021 HWC,Access to Care - Children,West Virginia,20,0.321,0.321,,,AHR data,
2021,2021 HWC,Access to Care - Women,West Virginia,10,0.691,0.691,,,AHR data,
2021,2021 HWC,ADD/ADHD Behavioral Treatment,West Virginia,21,4.9,0.41,6.5,3.2,AHR data,
2021,2021 HWC,ADD/ADHD Medication,West Virginia,11,7.4,1.03,9.5,5.3,AHR data,
2021,2021 HWC,ADD/ADHD Treatment,West Virginia,19,3.5,0.43,5,2.1,AHR data,
2021,2021 HWC,Adequate Insurance,West Virginia,9,70.8,0.87,74.1,67.5,AHR data,
2021,2021 HWC,Adequate Prenatal Care,West Virginia,19,79.6,0.5,,,AHR data,
2021,2021 HWC,Adequate Sleep,West Virginia,38,62.3,-0.73,66.6,58.1,AHR data,
2021,2021 HWC,Adverse Childhood Experiences,West Virginia,46,20.6,1.85,23.6,17.7,AHR data,
2021,2021 HWC,Adverse Childhood Experiences,West Virginia,46,20.6,1.85,23.6,17.7,AHR data,
2021,2021 HWC,Air and Water Quality - HWC,West Virginia,44,-0.508,-0.508,,,AHR data,
2021,2021 HWC,Air Pollution,West Virginia,28,7.4,-0.63,,,AHR data,
2021,2021 HWC,Alcohol Use - Youth,West Virginia,30,9.6,0.29,11.9,7.7,AHR data,
2021,2021 HWC,Anxiety,West Virginia,46,12.9,1.7,15.4,10.5,AHR data,
2021,2021 HWC,Arthritis - Women,West Virginia,50,18.6,2,21,16.2,AHR data,
2021,2021 HWC,"Arthritis - Women - $25-$49,999",West Virginia,49,21.5,2,27.3,15.6,AHR data,
2021,2021 HWC,"Arthritis - Women - $50-$74,999",West Virginia,,14.4,,21.5,7.2,AHR data,
2021,2021 HWC,"Arthritis - Women - $75,000 or More",West Virginia,,14.1,,18.7,9.6,AHR data,
2021,2021 HWC,Arthritis - Women - Ages 18-24,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - Ages 25-34,West Virginia,50,17.4,2,21.4,13.3,AHR data,
2021,2021 HWC,Arthritis - Women - Ages 35-44,West Virginia,50,30.0,2,34.2,25.8,AHR data,
2021,2021 HWC,Arthritis - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - College Grad,West Virginia,50,14.0,2,17.5,10.4,AHR data,
2021,2021 HWC,Arthritis - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - High School/GED,West Virginia,,24.6,,30.3,18.8,AHR data,
2021,2021 HWC,Arthritis - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Arthritis - Women - Less than $25,000",West Virginia,,39.6,,46.2,33.1,AHR data,
2021,2021 HWC,Arthritis - Women - Less than High School,West Virginia,,48.6,,63.5,33.6,AHR data,
2021,2021 HWC,Arthritis - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Arthritis - Women - Some Post-High School,West Virginia,50,26.6,2,31.9,21.2,AHR data,
2021,2021 HWC,Arthritis - Women - White,West Virginia,50,18.9,2,21.4,16.3,AHR data,
2021,2021 HWC,Asthma,West Virginia,4,5.4,-1.37,6.8,3.9,AHR data,
2021,2021 HWC,Asthma - Women,West Virginia,44,14.6,1.5,16.9,12.3,AHR data,
2021,2021 HWC,"Asthma - Women - $25-$49,999",West Virginia,,10.7,,14.8,6.7,AHR data,
2021,2021 HWC,"Asthma - Women - $50-$74,999",West Virginia,,,,,,AHR data,
2021,2021 HWC,"Asthma - Women - $75,000 or More",West Virginia,27,9.5,0.18,13.2,5.7,AHR data,
2021,2021 HWC,Asthma - Women - Ages 18-24,West Virginia,34,14.5,0.61,20,9,AHR data,
2021,2021 HWC,Asthma - Women - Ages 25-34,West Virginia,41,13.7,1.22,17.4,10,AHR data,
2021,2021 HWC,Asthma - Women - Ages 35-44,West Virginia,46,15.5,1.69,18.8,12.2,AHR data,
2021,2021 HWC,Asthma - Women - American Indian/Alaska Native,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - Asian,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - Black,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - College Grad,West Virginia,22,9.2,-0.05,12,6.4,AHR data,
2021,2021 HWC,Asthma - Women - Hawaiian/Pacific Islander,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - High School/GED,West Virginia,,14.9,,19.7,10.1,AHR data,
2021,2021 HWC,Asthma - Women - Hispanic,West Virginia,,,,,,AHR data,
2021,2021 HWC,"Asthma - Women - Less than $25,000",West Virginia,,22.9,,28.6,17.2,AHR data,
2021,2021 HWC,Asthma - Women - Less than High School,West Virginia,,31.2,,45.1,17.3,AHR data,
2021,2021 HWC,Asthma - Women - Multiracial,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - Other Race,West Virginia,,,,,,AHR data,
2021,2021 HWC,Asthma - Women - Some Post-High School,West Virginia,40,15.6,0.89,20,11.2,AHR data,
