,,,Poor or fair health,Poor physical health days,Poor mental health days,Adult smoking,Adult obesity,Excessive drinking,Uninsured,,Primary care physicians,,,Mental health providers,,,Preventable hospital stays,Mammography screening,High school completion,,,Some college,,,Unemployment,,,Social associations,,Air pollution - particulate matter,Drinking water violations,dummy Drinking water violation,Dentists,,,Dentists,,
County,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Adults with Obesity,% Excessive Drinking,# Uninsured,% Uninsured,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Preventable Hospitalization Rate,% With Annual Mammogram,# Completed High School,Population,% Completed High School,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,# Associations,Social Association Rate,Average Daily PM2.5,Presence of Water Violation,yes=1no=0,# Dentists,Dentist Rate,Dentist Ratio,# Dentists,Dentist Rate,Dentist Ratio
WEST VIRGINIA by 55 County by rank,36161,11318,24,5.3,6.6,26,40,15,112089,8,1411,79,1270:1,2663,149,670:1,5472,41,1124838,1283869,88,243900,431630,57,66134,792160,8.3,2356,13.1,7.6,,,1026,57,1740:1,1026,57,1740:1
Barbour,320,10322,26,5.7,6.6,25,36,13,1111,9,7,43,2349:1,19,116,865:1,3842,41,9878,11314,87,1399,3574,39,606,7335,8.3,10,6.1,6.9,No,0,5,30,3289:1,5,30,3289:1
Berkeley,2062,10210,22,4.9,5.9,22,38,16,8050,8,53,44,2249:1,221,181,553:1,4483,36,73408,81288,90,19028,32221,59,3628,58337,6.2,92,7.7,8.1,Yes,1,60,49,2035:1,60,49,2035:1
Boone,576,14934,29,6.1,6.8,28,44,14,1362,8,6,28,3576:1,8,38,2632:1,9306,32,13046,15643,83,2450,5007,49,784,7469,10.5,13,6.1,8.1,No,,5,24,4211:1,5,24,4211:1
Braxton,279,9903,28,6.0,6.7,27,40,13,978,10,6,43,2326:1,7,51,1957:1,3677,42,8471,10339,82,1176,3150,37,542,5220,10.4,13,9.3,7.2,Yes,1,6,44,2284:1,6,44,2284:1
Brooke,428,8602,22,5.1,6.1,24,38,15,1114,7,5,23,4388:1,5,23,4335:1,6018,38,14825,16123,92,3090,4648,66,889,9901,9.0,33,15.0,8.8,No,0,5,23,4335:1,5,23,4335:1
Cabell,2051,15316,24,5.5,6.3,24,38,15,5855,8,161,175,571:1,276,301,332:1,4218,36,55100,62445,88,14701,22621,65,3342,41946,8.0,137,14.9,7.8,No,0,57,62,1607:1,57,62,1607:1
Calhoun,138,8322,29,6.1,6.8,29,42,14,474,9,3,42,2370:1,3,43,2315:1,5024,37,4488,5419,83,712,1499,47,407,2535,16.1,3,4.2,7.7,Yes,1,3,43,2315:1,3,43,2315:1
Clay,203,14674,30,6.3,7.0,30,41,14,555,8,1,12,8508:1,5,60,1668:1,4715,40,4591,5903,78,483,1665,29,394,3153,12.5,4,4.7,7.5,No,0,3,36,2780:1,3,36,2780:1
Doddridge,127,8987,25,5.4,6.2,26,40,15,475,9,1,12,8448:1,1,12,8368:1,4049,42,5165,6292,82,858,1995,43,242,3847,6.3,6,7.1,7.6,Yes,1,,,,,,
Fayette,1037,13034,28,5.8,6.6,28,39,14,2890,9,20,47,2120:1,27,64,1558:1,7495,39,26349,31180,85,5174,10104,51,1622,16264,10.0,44,10.4,7.8,Yes,1,21,50,2003:1,21,50,2003:1
Gilmer,133,8095,26,5.4,5.9,24,43,15,374,8,3,38,2608:1,3,38,2604:1,7391,34,4606,5470,84,922,2081,44,236,2342,10.1,6,7.7,7.4,No,0,1,13,7811:1,1,13,7811:1
Grant,213,9502,26,5.6,6.5,26,42,15,768,9,7,61,1653:1,8,70,1439:1,6439,42,7063,8558,83,1337,2488,54,389,5969,6.5,16,13.8,6.3,No,0,6,52,1918:1,6,52,1918:1
Greenbrier,696,10904,25,5.5,6.3,25,41,14,2318,9,46,133,754:1,37,108,928:1,5082,43,22121,25826,86,4589,7925,58,1264,15680,8.1,48,13.8,7.2,Yes,1,24,70,1430:1,24,70,1430:1
Hampshire,454,12205,25,5.5,6.4,26,40,15,1795,10,6,26,3863:1,16,69,1449:1,4219,39,14948,17228,87,2324,4867,48,594,10847,5.5,19,8.2,7.0,Yes,1,8,34,2899:1,8,34,2899:1
Hancock,608,10681,24,5.3,6.3,25,37,15,1854,8,18,62,1601:1,44,154,649:1,5649,40,19323,21629,89,3565,6212,57,1317,13131,10.0,42,14.6,7.8,Yes,1,24,84,1190:1,24,84,1190:1
Hardy,244,10495,26,5.5,6.3,24,37,15,1094,10,2,15,6888:1,11,81,1239:1,4737,37,8147,10068,81,1145,3035,38,420,5865,7.2,11,8.0,6.5,Yes,1,5,37,2727:1,5,37,2727:1
Harrison,1280,10164,23,5.2,6.1,24,36,15,4137,8,80,119,841:1,169,253,396:1,4952,49,42788,48215,89,9242,16485,56,2709,34090,7.9,116,17.2,7.2,Yes,1,59,88,1133:1,59,88,1133:1
