County,# Food Insecure,% Insufficient Sleep,# Uninsured,Average Grade Performance/Reading scores,Average Grade Performance/Math scores,School funding adequacy,% Broadband Access,Population,# rural residents,% Enrolled in Free or Reduced Lunch,% Children in Poverty,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,Average Daily PM2.5 Air pollution - particulate matter,Presence of drinking Water Violation,# Limited Access health  food,High School Graduation Rate
WEST VIRGINIA by 55 County by rank,242180,43,11428,2.9,2.8,2907,79,1784787,950184,52,20,88475,363673,24,7.6,,139050,91
Barbour,2440,45,113,2.6,2.6,588,73,16444,13889,50,27,534,3235,17,6.9,No,875,98
Berkeley,10580,42,896,2.8,2.7,2244,86,122125,32944,52,14,6006,27399,22,8.1,Yes,11239,96
Boone,3760,48,139,2.8,2.7,2557,80,21055,20050,60,23,1007,4651,22,8.1,No,810,90
Braxton,2280,41,111,2.6,2.3,1269,71,13702,14523,57,23,532,2780,19,7.2,Yes,1373,98
Brooke,2580,42,108,2.8,2.6,3085,76,21674,10140,32,17,1129,3878,29,8.8,No,1158,96
Cabell,13870,43,508,2.9,2.8,2305,74,91589,20765,51,21,5316,18335,29,7.8,No,2886,89
Calhoun,1450,44,49,3.3,3.0,823,68,6945,7627,52,26,205,1335,15,7.7,Yes,1021,98
Clay,1770,44,57,3.2,2.8,397,78,8341,9386,68,33,490,1924,25,7.5,No,925,88
Doddridge,1010,43,47,3.0,2.8,9665,71,8368,8202,45,21,223,1320,17,7.6,Yes,97,98
Fayette,6890,46,259,2.8,2.7,2683,75,42062,26644,100,28,2241,8851,25,7.8,Yes,2775,88
Gilmer,940,45,36,3.0,3.0,2254,72,7811,5278,48,20,407,1194,34,7.4,No,2702,93
Grant,1260,43,87,2.9,3.0,217,74,11510,9392,49,19,362,2134,17,6.3,No,622,93
Greenbrier,4530,45,237,3.1,3.1,3594,77,34319,24742,52,25,1597,6703,24,7.2,Yes,3170,92
Hampshire,3230,42,191,3.1,3.1,675,77,23190,23964,67,23,986,4244,23,7.0,Yes,2371,85
Hancock,3470,43,183,3.1,3.0,2546,82,28571,9298,44,18,1484,5529,27,7.8,Yes,5343,97
Hardy,1510,45,122,2.8,2.8,1383,84,13633,11293,50,19,536,2830,19,6.5,Yes,903,93
Harrison,8220,42,441,2.8,2.8,2755,80,66870,25601,45,18,3500,14397,24,7.2,Yes,2857,93
Jackson,3840,43,187,3.2,3.0,3035,74,28453,20868,46,19,775,6258,12,8.4,Yes,1572,92
Jefferson,4160,39,483,3.0,2.8,5031,90,57486,25879,46,9,2047,12583,16,8.3,Yes,2944,90
Kanawha,23130,41,1027,2.9,3.0,2828,81,176253,48629,52,20,10867,36110,30,8.6,No,17756,86
Lewis,2480,43,116,2.4,2.6,2794,72,15805,11295,58,19,843,3432,25,7.4,No,713,93
Lincoln,3510,45,153,2.7,2.5,385,77,20043,21720,62,26,904,4633,20,8.4,Yes,251,93
Logan,6160,46,207,2.9,2.5,2003,83,31688,25996,58,29,1716,6724,26,7.9,Yes,1198,91
McDowell,4190,47,113,2.6,2.3,-2346,71,16916,19015,73,38,900,3713,24,7.5,Yes,436,87
